gene_name,sample,counts,fraction
der,5,544,0.00012019971713294509
dfp,5,310,6.849616233678856e-05
dgcC,5,35,7.733437683185805e-06
dgcE,5,635,0.00014030665510922818
dgcF,5,42,9.280125219822966e-06
dgcI,5,12,2.6514643485208475e-06
dgcJ,5,130,2.8724197108975847e-05
dgcM,5,212,4.6842536823868306e-05
dgcN,5,48,1.060585739408339e-05
dgcP,5,145,3.203852754462691e-05
dgcQ,5,430,9.501080582199703e-05
dgcT,5,48,1.060585739408339e-05
dgcZ,5,220,4.8610179722882203e-05
dgkA,5,167,3.689954551691513e-05
dgoA,5,27,5.9657947841719064e-06
dgoD,5,43,9.501080582199704e-06
dgoK,5,58,1.2815411017850763e-05
dgoR,5,219,4.838922436050547e-05
dgoT,5,53,1.1710634205967077e-05
dgt,5,521,0.00011511774379828013
dhaK,5,603,0.0001332360835131726
dhaL,5,303,6.69494748001514e-05
dhaM,5,338,7.468291248333721e-05
dhaR,5,277,6.120463537835623e-05
diaA,5,315,6.960093914867225e-05
dicA,5,254,5.6122662043691274e-05
dicB,5,4,8.838214495069491e-07
dicC,5,3,6.628660871302119e-07
dinB,5,167,3.689954551691513e-05
dinD,5,134,2.9608018558482796e-05
dinF,5,74,1.635069681587856e-05
dinG,5,166,3.667859015453839e-05
dinI,5,104,2.2979357687180677e-05
dinJ,5,1863,0.0004116398401078616
dinQ,5,2960,0.0006540278726351424
djlA,5,196,4.3307251025840506e-05
djlB,5,7,1.546687536637161e-06
djlC,5,59,1.30363663802275e-05
dkgA,5,2371,0.0005238851641952441
dkgB,5,54,1.1931589568343813e-05
dksA,5,13251,0.002927879506854146
dld,5,1483,0.0003276768024047014
dmlA,5,97,2.143267015054352e-05
dmlR,5,1828,0.00040390640242467577
dmsA,5,214,4.728444754862178e-05
dmsB,5,37,8.17534840793928e-06
dmsC,5,179,3.955100986543598e-05
dmsD,5,114,2.518891131094805e-05
dnaA,5,1256,0.00027751993514518204
dnaB,5,351,7.755533219423479e-05
dnaC,5,171,3.7783366966422074e-05
dnaE,5,541,0.00011953685104581488
dnaG,5,698,0.00015422684293896262
dnaJ,5,1660,0.0003667859015453839
dnaK,5,34314,0.007581862304595364
dnaN,5,427,9.434793973486682e-05
dnaQ,5,495,0.00010937290437648496
dnaT,5,179,3.955100986543598e-05
dnaX,5,381,8.418399306553691e-05
dosC,5,1372,0.00030315075718088355
dosP,5,563,0.0001243978690181031
dpiA,5,63,1.392018782973445e-05
dpiB,5,229,5.059877798427284e-05
dppA,5,1572,0.000347341829656231
dppB,5,56,1.2373500293097289e-05
dppC,5,59,1.30363663802275e-05
dppD,5,73,1.612974145350182e-05
dppF,5,75,1.6571652178255297e-05
dps,5,12400,0.0027398464934715425
dsbA,5,587,0.0001297007977151448
dsbB,5,361,7.976488581800217e-05
dsbC,5,289,6.385609972687707e-05
dsbD,5,146,3.225948290700364e-05
dsbG,5,183,4.043483131494292e-05
dsdA,5,169,3.7341456241668604e-05
dsdC,5,135,2.9828973920859534e-05
dsdX,5,42,9.280125219822966e-06
dsrB,5,1048,0.00023156121977082068
dtd,5,560,0.00012373500293097288
dtpA,5,153,3.3806170443640804e-05
dtpB,5,437,9.65574933586342e-05
dtpC,5,46,1.0163946669329916e-05
dtpD,5,39,8.617259132692754e-06
dusA,5,216,4.772635827337525e-05
dusB,5,336,7.424100175858373e-05
dusC,5,51,1.1268723481213602e-05
dut,5,282,6.230941219023991e-05
dxr,5,275,6.0762724653602754e-05
dxs,5,133,2.9387063196106058e-05
eaeH,5,2,4.4191072475347456e-07
eamA,5,536,0.00011843207423393118
eamB,5,164,3.623667942978492e-05
ebgA,5,43,9.501080582199704e-06
ebgC,5,5,1.1047768118836864e-06
ebgR,5,78,1.7234518265385507e-05
ecnA,5,51,1.1268723481213602e-05
ecnB,5,2130,0.0004706349218624504
eco,5,87,1.9223116526776145e-05
ecpA,5,59,1.30363663802275e-05
ecpB,5,6,1.3257321742604238e-06
ecpC,5,79,1.7455473627762245e-05
ecpD,5,52,1.1489678843590339e-05
ecpE,5,59,1.30363663802275e-05
ecpR,5,3,6.628660871302119e-07
eda,5,217,4.794731363575199e-05
edd,5,325,7.181049277243963e-05
