well,od600nm,identifier,replicate,growth_medium,date,run_number,time_hr,avg_blank_value,strain,class,od600nm_subtracted
F8,0.084,GC029,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆flh,Single KO,0.005037037037037048
F9,0.085,GC001,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,WT,WT,0.006037037037037049
F10,0.085,GC001,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,WT,WT,0.006037037037037049
F11,0.082,GC001,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,WT,WT,0.0030370370370370464
C3,0.087,GC032,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆mal,Single KO,0.008037037037037037
C4,0.089,GC049,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆pot,Single KO,0.010037037037037039
C5,0.089,GC052,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆nmp,Single KO,0.010037037037037039
C6,0.086,GC047,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆his,Single KO,0.007037037037037036
C7,0.091,GC050,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆rbs,Single KO,0.01203703703703704
C8,0.084,GC048,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆dpp,Single KO,0.005037037037037048
C9,0.087,GC053,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆opp,Single KO,0.008037037037037037
C10,0.089,GC055,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆mgl,Single KO,0.010037037037037039
D3,0.087,GC032,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆mal,Single KO,0.008037037037037037
D4,0.086,GC049,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆pot,Single KO,0.007037037037037036
D5,0.086,GC052,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆nmp,Single KO,0.007037037037037036
D6,0.089,GC047,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆his,Single KO,0.010037037037037039
D7,0.092,GC050,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆rbs,Single KO,0.013037037037037041
