,dilution_cycle,species_label,preshift_nutrient_label,stall_biomass,entry_time_hr,exit_time_hr,lag_time_hr,nu_preshift,nu_postshift,K,lam_postshift,lam_preshift,alpha_2_preallocation
0,1.0,0.0,0.0,1.9359597661643696e+16,0.8270000000000001,1.907564582172006,1.080564582172006,10,14.0,1e-07,2.1531831239608135,1.8439143389736932,0.0002602811608883494
0,1.0,0.0,0.0,1.936024820913217e+16,0.8270000000000001,1.8372015216519135,1.0102015216519136,10,15.0,1e-07,2.212925694203362,1.843923629294529,0.0002602809830421287
0,1.0,0.0,0.0,1.9360901386577944e+16,0.8270000000000001,1.7753546382762146,0.9483546382762146,10,16.0,1e-07,2.26811463051009,1.8439397815001926,0.000260138785077513
0,1.0,0.0,0.0,1.936155684863063e+16,0.8270000000000001,1.7198749105828066,0.8928749105828065,10,17.0,1e-07,2.3192898852866395,1.8439394954991093,0.00026034309548178064
0,1.0,0.0,0.0,1.9362214805750944e+16,0.8270000000000001,1.6730066784241164,0.8460066784241164,10,18.0,1e-07,2.3668779126231283,1.8439487878556615,0.0002603429172326108
0,1.0,0.0,0.0,1.936287526142759e+16,0.8270000000000001,1.6306434368497094,0.8036434368497093,10,19.0,1e-07,2.4112365311108555,1.8439580758935532,0.00026034273887441217
0,1.0,0.0,0.0,1.936353777442792e+16,0.8270000000000001,1.5920816296647604,0.7650816296647603,10,20.0,1e-07,2.452694925827566,1.8439578182440608,0.0002605477972206424
0,1.0,0.0,0.0,1.9356130884340332e+16,0.8280000000000001,12.58106309340015,11.75306309340015,10,1.0,1e-06,0.359565145674576,1.8432425472217455,0.00255966859750663
0,1.0,0.0,0.0,1.9361551979471704e+16,0.8280000000000001,6.564516223334134,5.736516223334133,10,2.0,1e-06,0.64635726593743,1.8433175551855643,0.0025628575505664466
0,1.0,0.0,0.0,1.936699560594043e+16,0.8280000000000001,4.562432588204259,3.7344325882042586,10,3.0,1e-06,0.8830983882021999,1.8433825329712128,0.0025680092479264836
0,1.0,0.0,0.0,1.9372693735835956e+16,0.8290000000000001,3.5744661693769855,2.7454661693769853,10,4.0,1e-06,1.083730205688529,1.8434575310407186,0.0025713714782817105
0,1.0,0.0,0.0,1.937796123239685e+16,0.8280000000000001,2.994913939732915,2.1669139397329147,10,5.0,1e-06,1.2563389773539047,1.8435248371440598,0.0025762197369811834
0,1.0,0.0,0.0,1.9383475043754684e+16,0.8280000000000001,2.6132153870901083,1.7852153870901082,10,6.0,1e-06,1.4066347267880748,1.8436021733714665,0.002579201621716948
0,1.0,0.0,0.0,1.9389006455736492e+16,0.8280000000000001,2.3456173457323666,1.5176173457323665,10,7.0,1e-06,1.538807096009298,1.8436771602905349,0.0025827856731483875
0,1.0,0.0,0.0,1.9395052693321596e+16,0.8290000000000001,2.1479360029358086,1.3189360029358084,10,8.0,1e-06,1.6560212744664518,1.8437448483724255,0.00258786251933172
0,1.0,0.0,0.0,1.9399620474106664e+16,0.8270000000000001,1.9936973929336967,1.1666973929336968,10,9.0,1e-06,1.7607720907661484,1.843822393168424,0.0025910175678351102
0,1.0,0.0,0.0,1.9407060609031776e+16,0.8300000000000001,1.8722350349675883,1.0422350349675882,10,10.0,1e-06,1.8549446564777161,1.8439000028077734,0.00259422147048851
0,1.0,0.0,0.0,1.9412153389238284e+16,0.8290000000000001,1.7745151207498475,0.9455151207498474,10,11.0,1e-06,1.9401277673046553,1.8439681476604022,0.00259951898123936
0,1.0,0.0,0.0,1.941713239959339e+16,0.8280000000000001,1.6939214076042637,0.8659214076042636,10,12.0,1e-06,2.0175688674431695,1.8440459597595091,0.0026028404024423008
0,1.0,0.0,0.0,1.9423683580168716e+16,0.8290000000000001,1.6260128608983981,0.7970128608983981,10,13.0,1e-06,2.0883006306329674,1.84411732629304,0.0026076312395693826
0,1.0,0.0,0.0,1.942858542943233e+16,0.8280000000000001,1.5701632625912034,0.7421632625912034,10,14.0,1e-06,2.1531987957642085,1.844195414502431,0.002611057330938603
0,1.0,0.0,0.0,1.943434655641733e+16,0.8280000000000001,1.519984341744208,0.691984341744208,10,15.0,1e-06,2.212919785426402,1.8442735620083575,0.0026145366810156473
