nu_max_preshift,nu_max_postshift,lag_time_hr,shift_time,regrowth_time,shift_biomass,min_gamma,preshift_growth_rate_hr,postshift_growth_rate_hr,useful_fraction_pre,useful_fraction_post
10.0,1.0,14.757557899159272,1.1,15.857557899159271,3.41e+16,0.02934949161227896,1.8410929124482054,0.2286094890533415,1,0.6
10.0,1.8888888888888888,7.46984250242072,1.1,8.56984250242072,3.41e+16,0.055854258971845615,1.8416135376276708,0.4010752585662207,1,0.6
10.0,2.7777777777777777,5.030510665451462,1.1,6.130510665451462,3.41e+16,0.08230665846695252,1.8421338613866505,0.5575319004190347,1,0.6
10.0,3.6666666666666665,3.7352973156097113,1.1,4.835297315609711,3.41e+16,0.1088932023536755,1.8426538759609932,0.6972255027047508,1,0.6
10.0,4.555555555555555,2.958808914962195,1.1,4.058808914962195,3.41e+16,0.1357358751387202,1.8430818159445619,0.8240471503877169,1,0.6
10.0,5.444444444444445,2.43963775303576,1.1,3.53963775303576,3.41e+16,0.16276236332334176,1.8436033586129936,0.9398844969015114,1,0.6
10.0,6.333333333333333,2.069100023697946,1.1,3.169100023697946,3.41e+16,0.18993285888009562,1.8441245939617148,1.0462009545802433,1,0.6
10.0,7.222222222222221,1.7979176402851782,1.1,2.8979176402851783,3.41e+16,0.21733536784565693,1.8446455127872934,1.1442040590637443,1,0.6
10.0,8.11111111111111,1.5827822085380725,1.1,2.6827822085380726,3.41e+16,0.24502514876842305,1.8450775457764739,1.2348737644128889,1,0.6
10.0,9.0,1.4152591870404283,1.1,2.5152591870404284,3.41e+16,0.27292452821883795,1.845600106387104,1.319027937570283,1,0.6
10.0,1.0,12.545459791372016,1.1,13.645459791372016,3.41e+16,0.034285719443642726,1.8411905536002058,0.2628010343823275,1,0.7000000000000001
10.0,1.8888888888888888,6.10689049950169,1.1,7.206890499501689,3.41e+16,0.06518619696813434,1.8417978596955704,0.4400399017438074,1,0.7000000000000001
10.0,2.7777777777777777,4.260941063304793,1.1,5.360941063304794,3.41e+16,0.09608974193863935,1.8424047430831507,0.6320332447937967,1,0.7000000000000001
10.0,3.6666666666666665,3.1681071513163688,1.1,4.268107151316369,3.41e+16,0.12731679881777896,1.842918765716594,0.78566905429818,1,0.7000000000000001
10.0,4.555555555555555,2.5040071383737454,1.1,3.6040071383737455,3.41e+16,0.15880815798648334,1.843527324005136,0.9236158629782358,1,0.7000000000000001
10.0,5.444444444444445,2.0647142524878235,1.1,3.1647142524878236,3.41e+16,0.19052271686799552,1.8441354477369902,1.0483274164333387,1,0.7000000000000001
10.0,6.333333333333333,1.7518846596057842,1.1,2.8518846596057843,3.41e+16,0.22250362035751403,1.8447431501403049,1.16174057644175,1,0.7000000000000001
10.0,7.222222222222221,1.5217340132936594,1.1,2.6217340132936595,3.41e+16,0.25484824834303504,1.8452626568618746,1.2653623064507693,1,0.7000000000000001
10.0,8.11111111111111,1.3405761706388932,1.1,2.4405761706388933,3.41e+16,0.287512772189715,1.8458721502478912,1.3605221842548358,1,0.7000000000000001
