dilution_cycle,species_label,preshift_nutrient_label,stall_biomass,entry_time_hr,exit_time_hr,lag_time_hr,nu_max_preshift,nu_max_postshift,growth_rate_preshift,growth_rate_postshift,K
1,0,0,1.5535182207516372e+16,7.85,42.71020826073843,34.86020826073843,2,2.0,0.6414277782039821,0.6464831900603636,1e-05
1,0,1,8.850148717440163e+20,27.65,,,2,2.0,0.6414277782039821,0.6464831900603636,1e-05
1,0,0,1.4976310185771136e+16,5.8,18.631792945515212,12.831792945515211,3,0.5,0.865983155667957,0.19259884062599428,1e-05
1,0,0,1.5040609328132242e+16,5.8,13.914728813784505,8.114728813784506,3,0.7777777777777778,0.8671873965050741,0.28893569322405305,1e-05
1,0,0,1.5106803729270192e+16,5.8,11.65655426444871,5.85655426444871,3,1.0555555555555556,0.8683997541602088,0.3784750715554898,1e-05
1,0,0,1.5106803729270192e+16,5.8,38.42322093111538,32.623220931115384,3,1.0555555555555556,0.8683997541602088,0.3784750715554898,1e-05
1,0,1,8.850148710028023e+20,40.65,,,3,1.0555555555555556,0.8683997541602088,0.3784750715554898,1e-05
1,0,0,1.5165357835399796e+16,5.783333333333333,10.320984640400509,4.537651307067176,3,1.3333333333333335,0.8696044172773503,0.46101302962685003,1e-05
1,0,0,1.5165357835399796e+16,5.783333333333333,11.220984640400507,5.437651307067174,3,1.3333333333333335,0.8696044172773503,0.46101302962685003,1e-05
1,0,0,1.5165357835399796e+16,5.783333333333333,40.03765130706718,34.25431797373385,3,1.3333333333333335,0.8696044172773503,0.46101302962685003,1e-05
1,0,1,8.85014870472901e+20,34.06666666666666,,,3,1.3333333333333335,0.8696044172773503,0.46101302962685003,1e-05
1,0,0,1.5221532994523976e+16,5.766666666666667,9.502789530774516,3.736122864107849,3,1.6111111111111112,0.8708247986271334,0.5421868643682366,1e-05
1,0,0,1.5221532994523976e+16,5.766666666666667,41.48612286410785,35.71945619744118,3,1.6111111111111112,0.8708247986271334,0.5421868643682366,1e-05
1,0,1,8.850153546308568e+20,29.733333333333334,,,3,1.6111111111111112,0.8708247986271334,0.5421868643682366,1e-05
1,0,0,1.5303123232783608e+16,5.783333333333333,8.913210940211167,3.129877606877834,3,1.8888888888888888,0.8720302235705414,0.6174685501499955,1e-05
1,0,0,1.5303123232783608e+16,5.783333333333333,42.3965442735445,36.61321094021117,3,1.8888888888888888,0.8720302235705414,0.6174685501499955,1e-05
1,0,1,8.850148760274296e+20,26.666666666666668,,,3,1.8888888888888888,0.8720302235705414,0.6174685501499955,1e-05
1,0,0,1.5358997698721768e+16,5.766666666666667,8.44268900889472,2.6760223422280527,3,2.166666666666667,0.8732362356812261,0.6864403679769564,1e-05
1,0,0,1.5358997698721768e+16,5.766666666666667,8.526022342228053,2.7593556755613866,3,2.166666666666667,0.8732362356812261,0.6864403679769564,1e-05
1,0,0,1.5358997698721768e+16,5.766666666666667,43.14268900889472,37.376022342228055,3,2.166666666666667,0.8732362356812261,0.6864403679769564,1e-05
1,0,1,8.850148662689118e+20,24.383333333333333,,,3,2.166666666666667,0.8732362356812261,0.6864403679769564,1e-05
1,0,0,1.5430812011440116e+16,5.766666666666667,8.104266945931872,2.3376002792652057,3,2.4444444444444446,0.8744356886178866,0.7544066019822133,1e-05
1,0,0,1.5430812011440116e+16,5.766666666666667,8.187600279265208,2.4209336125985415,3,2.4444444444444446,0.8744356886178866,0.7544066019822133,1e-05
